part_name,part_type
ryzen 3100 3 amd,CPU
ryzen 9 7900x3d amd,CPU
3970x threadripper amd,CPU
intel core i5 11400f -,CPU
7 ryzen 3800x amd,CPU
intel core - i7 12700f,CPU
2600x ryzen 5 amd,CPU
intel core i5 - 9600k,CPU
i3 intel 13100f core -,CPU
i3 intel core - 12100,CPU
intel core 11700k - i7,CPU
intel core i5 10400 -,CPU
i3 intel core 14100 -,CPU
intel core - i7 8700,CPU
intel 13900kf core - i9,CPU
intel 225f core ultra 5,CPU
ryzen 5 9600 amd,CPU
intel core - 10900k i9,CPU
intel core i5 13400 -,CPU
intel 235 core ultra 5,CPU
intel core 6500 i5 -,CPU
intel core 13700f - i7,CPU
intel e2220 pentium,CPU
intel core 4790k - i7,CPU
ryzen 5 5500gt amd,CPU
g ryzen 5 amd 4600,CPU
intel core - i7 7700,CPU
intel core i5 8400 -,CPU
intel core 14700 - i7,CPU
intel pentium e5700,CPU
intel core - i7 6700,CPU
ryzen 5 3500x amd,CPU
1600 nm ) ( ryzen 5 14 amd,CPU
intel core 10700f - i7,CPU
intel core - i9 11900k,CPU
i3 intel core - 10100f,CPU
intel core - i7 11700f,CPU
intel core 13500 i5 -,CPU
intel core - i7 12700,CPU
3950x ryzen 9 amd,CPU
intel core 13900ks - i9,CPU
intel core - i7 4770k,CPU
intel core i5 10600k -,CPU
ryzen 5 3600 amd,CPU
7 ryzen 2700 amd,CPU
intel core 10700 - i7,CPU
threadripper 3960x amd,CPU
intel core i5 - 6600k,CPU
285 9 intel core ultra,CPU
3770 intel core - i7,CPU
intel core - i7 9700,CPU
intel core 14500 i5 -,CPU
i3 intel core - 6100,CPU
intel core i5 - 11400,CPU
intel core - 10850k i9,CPU
intel core ultra 225 5,CPU
intel 7500 core i5 -,CPU
intel core 265 ultra 7,CPU
intel xeon 2699 v4 - e5,CPU
intel 7500 core i5 - t,CPU
i3 8100 intel core -,CPU
intel core i5 4690k -,CPU
intel core 8600k i5 -,CPU
i3 intel core - 10105f,CPU
intel xeon v4 - 2680 e5,CPU
intel core - 12900ks i9,CPU
g640 intel pentium,CPU
7 ryzen 1700 amd,CPU
intel core 4790 - i7,CPU
intel core 9700f - i7,CPU
intel core i5 7400 -,CPU
intel core 9900kf - i9,CPU
g 2200 ryzen amd 3,CPU
5600x3d ryzen 5 amd,CPU
intel core ultra 7 265f,CPU
4564p epyc amd,CPU
g 2400 ryzen 5 amd,CPU
1600 nm ) ( ryzen 5 amd 12,CPU
i3 intel 10100 core -,CPU
8500 intel core i5 -,CPU
intel 11600k core i5 -,CPU
intel core - 9700kf i7,CPU
intel core i5 - 12500,CPU
2650 amd,CPU
intel core - 10700kf i7,CPU
3600xt ryzen 5 amd,CPU
i3 intel core 9100f -,CPU
intel core 4590 i5 -,CPU
amd g nm ) ( athlon 14 3000,CPU
fx-8350 amd,CPU
intel core - i7 11700kf,CPU
intel core i5 - 3470,CPU
intel core 245kf ultra 5,CPU
intel 4770 core - i7,CPU
3770k intel core - i7,CPU
intel core i5 - 7600,CPU
7 ryzen 3700x amd,CPU
ryzen 9 3900xt amd,CPU
intel core 13700 - i7,CPU
i3 intel core 4150 -,CPU
intel core - i7 11700,CPU
intel core - 11900kf i9,CPU
ryzen 1600x 5 amd,CPU
i3 intel core 13100 -,CPU
intel core i5 - 7600k,CPU
intel core i5 9400f -,CPU
7 ryzen 1700x amd,CPU
3500 ryzen 5 amd,CPU
intel core i5 - 9400,CPU
intel core i5 - 4570,CPU
7600x3d ryzen 5 amd,CPU
7 ryzen 3800xt amd,CPU
intel core i5 - 11600kf,CPU
ryzen 3300x 3 amd,CPU
intel core - i7 6800k,CPU
1400 ryzen 5 amd,CPU
intel 14900f core - i9,CPU
nm ) ( ryzen 14 1200 amd 3,CPU
9600kf intel core i5 -,CPU
i3 intel core 10105 -,CPU
2920x threadripper amd,CPU
5600 ryzen 5 amd t,CPU
intel celeron g6900,CPU
intel core 4460 i5 -,CPU
intel core i5 2400 -,CPU
intel core - 8700k i7,CPU
intel core - 6950x i7,CPU
intel core i5 10600kf -,CPU
intel core i5 - 6400,CPU
7 ryzen 1800x amd,CPU
intel xeon 2687w v4 - e5,CPU
ryzen 5 3600 amd,CPU
i3 intel core 9100 -,CPU
intel core 2600 - i7,CPU
intel core 14900 - i9,CPU
intel core i5 - 4570 t,CPU
intel core - i9 10980xe,CPU
intel core - 10900kf i9,CPU
intel core - 9900ks i9,CPU
intel core 4790k - i7,CPU
intel core i5 - 9500,CPU
intel 10500 core i5 -,CPU
1500x ryzen 5 amd,CPU
fx-6300 amd,CPU
intel core i5 - 3570k,CPU
intel core - i7 8700,CPU
i3 intel core - 7100,CPU
intel core - i9 7900x,CPU
9 pro ryzen 7945 amd,CPU
intel core i5 8400 -,CPU
intel xeon 2690 - e5 v2,CPU
intel core i5 - 4690,CPU
1950x threadripper amd,CPU
intel core 13900 - i9,CPU
i3 intel core 4130 -,CPU
athlon 200ge amd,CPU
g4400 intel pentium,CPU
intel core 5820k - i7,CPU
intel core i5 - 6600,CPU
g7400 intel pentium gold,CPU
10900f intel core - i9,CPU
intel core - 9940x i9,CPU
epyc 4244p amd,CPU
threadripper 1920x amd,CPU
intel core 4790 - i7,CPU
intel core i5 - 4670k,CPU
intel celeron 420,CPU
a6 6400k - amd,CPU
intel core i5 12600 -,CPU
1220 intel xeon v6 e3 -,CPU
intel core 9900k - i9,CPU
intel core i5 3570 -,CPU
intel core i5 2500k -,CPU
g5420 intel pentium gold,CPU
8500 intel core i5 - t,CPU
intel core - 10900x i9,CPU
intel xeon 1650 v4 - e5,CPU
2 intel core e8400 duo,CPU
ryzen 5600xt 5 amd,CPU
intel core - 2600k i7,CPU
intel core - i7 8086k,CPU
ryzen 9 3900x amd,CPU
ryzen 5 2600 amd,CPU
10900 intel core - i9,CPU
intel core 13500 i5 - t,CPU
2970wx threadripper amd,CPU
intel core 6500 i5 -,CPU
intel core 13900f - i9,CPU
fx-9590 amd,CPU
intel core 9900 - i9,CPU
intel core i5 - 8600,CPU
athlon 340 x2 amd,CPU
fx-6350 amd,CPU
intel core i5 - 11500,CPU
intel core - i7 7700,CPU
intel 9700k core - i7,CPU
intel core - 12900f i9,CPU
intel core 11600 i5 -,CPU
intel core - i7 6850k,CPU
intel core - 9820x i9,CPU
epyc 4464p amd,CPU
intel core - i9 12900,CPU
intel g5905 celeron,CPU
i3 intel core 530 -,CPU
intel core 4770s - i7,CPU
intel core i5 - 4440,CPU
intel core - 7700k i7,CPU
intel core - i9 11900f,CPU
g6600 intel pentium gold,CPU
intel core 14500 i5 - t,CPU
intel xeon v4 2650 - e5,CPU
intel core i5 - 9600,CPU
intel core 7820x - i7,CPU
i3 intel core - 3220,CPU
intel 300,CPU
intel core 10920x - i9,CPU
fx-8320 amd,CPU
ryzen 1300x 3 amd,CPU
i3 intel core - t 12100,CPU
fx-8300 amd,CPU
intel core 6700k - i7,CPU
intel pentium g4560,CPU
intel xeon 2630 v4 - e5,CPU
intel core i5 2500 -,CPU
intel core ) folding ( 9900k standard - i9 box,CPU
intel core 11900 - i9,CPU
intel xeon 4620 - e5,CPU
2950x threadripper amd,CPU
amd ii athlon x2 240,CPU
intel celeron g3930,CPU
intel core i5 - 10600,CPU
intel xeon 2698 v4 - e5,CPU
intel celeron g5900,CPU
g 3400 ryzen 5 amd,CPU
2600x ryzen 5 amd,CPU
7 ryzen 3800x amd,CPU
intel core - i7 5960x,CPU
g6400 intel pentium gold,CPU
intel core 4930k - i7,CPU
intel core 13900 - i9 t,CPU
g ryzen 3200 amd 3,CPU
i3 intel core 2100 -,CPU
ryzen 5 3600x amd,CPU
4344p epyc amd,CPU
intel xeon 2620 - e5,CPU
intel core 2700k - i7,CPU
intel xeon 2667 v3 - e5,CPU
nm ) ( ryzen 1200 amd 12 3,CPU
ryzen 5 3600 amd,CPU
i3 intel core - t 7100,CPU
intel edition core 4960x extreme - i7,CPU
intel celeron e3400,CPU
intel core 7800x - i7,CPU
intel core - 920 i7,CPU
i3 intel core 4170 -,CPU
2990wx threadripper amd,CPU
a4 - 6300 amd,CPU
intel core - i7 6700,CPU
intel core 5930k - i7,CPU
5600 ryzen 5 amd t,CPU
3900 ryzen 9 amd,CPU
intel core i5 - 9600k,CPU
intel xeon v4 2683 - e5,CPU
1900x threadripper amd,CPU
intel xeon 2697 v4 - e5,CPU
i3 intel 2120 core -,CPU
intel core 9980xe - i9,CPU
intel core i5 - 4430,CPU
intel core - 6950x i7,CPU
intel core - i7 9700,CPU
9600 - a8 amd,CPU
fx-4350 amd,CPU
intel core 9980xe - i9,CPU
intel core 3930k - i7,CPU
intel core 13700 - i7 t,CPU
ii x4 athlon amd 640,CPU
fx-8370 amd,CPU
intel core 10940x - i9,CPU
g 2400 ryzen 5 amd,CPU
intel core i5 - 750,CPU
intel xeon v3 - 2680 e5,CPU
intel core - i7 6900k,CPU
intel 4670 core i5 -,CPU
intel xeon 1230 e3 - v2,CPU
i3 intel core - 4160,CPU
intel xeon 2699 v3 - e5,CPU
intel core 8600k i5 -,CPU
i3 intel core - 8350k,CPU
intel core - i7 6700 t,CPU
fx-6100 amd,CPU
intel core - 7980xe i9,CPU
intel core - i7 t 8700,CPU
intel xeon - 1620 e5 v2,CPU
intel core i5 7400 - t,CPU
2670 intel xeon v3 - e5,CPU
intel xeon 2690 v4 - e5,CPU
intel pentium gold g5400,CPU
intel 1630 xeon v4 - e5,CPU
7645 pro ryzen 5 amd,CPU
intel xeon 2697 - e5 v2,CPU
g5925 intel celeron,CPU
intel core i5 3450 -,CPU
intel core 9700f - i7,CPU
fx-4300 amd,CPU
3950x ryzen 9 amd,CPU
epyc 4584px amd,CPU
intel core 7960x - i9,CPU
intel core - 4820k i7,CPU
9600kf intel core i5 -,CPU
intel core 3330 i5 -,CPU
7 ryzen 1700x amd,CPU
phenom ii black 1090 x6 amd t,CPU
intel xeon 2630 v3 - e5,CPU
a10 9700 - amd,CPU
13600 intel core i5 -,CPU
intel core i5 8400 - t,CPU
intel core - i9 7920x,CPU
intel core 7740x - i7,CPU
fx-6120 amd,CPU
intel xeon v3 e3 - 1231,CPU
2695 intel xeon v3 - e5,CPU
i3 intel core - 3240,CPU
4364p epyc amd,CPU
intel 9800x core - i7,CPU
intel xeon 2650 - e5,CPU
2695 intel xeon v4 - e5,CPU
intel xeon 2660 v3 - e5,CPU
intel core 860 - i7,CPU
5350 amd,CPU
intel xeon v4 2683 - e5,CPU
7 pro ryzen amd 7745,CPU
intel core i5 - 9500 t,CPU
intel core 3770s - i7,CPU
- 7600 a8 amd,CPU
2 intel quad core q9300,CPU
160u athlon ii amd,CPU
fx-8350 amd,CPU
980x intel edition core extreme - i7,CPU
7 pro ryzen amd 7745,CPU
i3 intel core 13100 - t,CPU
intel core 4790s - i7,CPU
intel edition core extreme 990x - i7,CPU
intel xeon v4 - e5 2640,CPU
i3 intel core 10300 -,CPU
intel core 3820 - i7,CPU
intel core i5 - 9400,CPU
fx-4350 amd,CPU
intel core i5 - 3470s,CPU
6600k - a8 amd,CPU
a10 - 7850k amd,CPU
2 intel quad core q6600,CPU
fx-6300 amd,CPU
intel celeron g3900,CPU
2 intel quad core q9550,CPU
intel xeon v3 - 1620 e5,CPU
g3258 intel pentium,CPU
fx-8320 amd,CPU
2 intel quad core q9650,CPU
intel core i5 9500f -,CPU
intel core 5775c - i7,CPU
2 intel core extreme qx9770,CPU
intel core - i7 7700 t,CPU
intel xeon - 2680 e5,CPU
intel core i5 - 4590s,CPU
intel core - 10850k i9,CPU
intel core - 870 i7,CPU
phenom ii x4 black 965 amd,CPU
fx-6350 amd,CPU
a10 - 7700k amd,CPU
6402p intel core i5 -,CPU
7680 - a8 amd,CPU
intel xeon v3 e3 1270 -,CPU
intel core - i7 4770k,CPU
intel core - i7 4770k,CPU
intel core i5 - 4570s,CPU
2650l intel xeon - e5 v2,CPU
intel xeon v5 e3 - 1240l,CPU
intel core 7740x - i7,CPU
intel edition core extreme - 3970x i7,CPU
intel core 6500 i5 - t,CPU
a10 - 7800 amd,CPU
phenom ii x4 820 amd,CPU
ii x4 athlon amd 640,CPU
i3 intel 10100 core - t,CPU
10700k intel 's core edition avengers collector - i7,CPU
i3 8100 intel core -,CPU
intel core - 9900x i9,CPU
intel xeon 2697 v3 - e5,CPU
intel g4600 pentium,CPU
440 intel celeron,CPU
intel 7500 core i5 -,CPU
intel core 3550 i5 -,CPU
8500 intel core i5 -,CPU
2 intel core e7500 duo,CPU
intel core 5820k - i7,CPU
intel core i5 4690k -,CPU
7650k - a8 amd,CPU
i3 intel core - 7100,CPU
intel core i5 10600k -,CPU
i3 intel 2120 core - t,CPU
intel xeon g e-2286,CPU
intel xeon 2660 v4 - e5,CPU
intel edition core avengers 10850ka - limited i9,CPU
intel celeron g3930,CPU
g6405 intel pentium gold,CPU
6800k a10 - amd,CPU
fx-4100 amd,CPU
intel core i5 760 -,CPU
220ge athlon amd,CPU
intel core i5 7400 -,CPU
intel core 650 i5 -,CPU
intel core i5 - 6400,CPU
intel core 6500 i5 - t,CPU
1245 intel xeon v6 e3 -,CPU
intel xeon 2630 - e5,CPU
i3 intel core 6300 -,CPU
intel core i5 - 7600k,CPU
g3220 intel pentium,CPU
intel xeon - 2680 e5 v2,CPU
intel core i5 - 4690,CPU
g 2200 ryzen amd 3,CPU
i3 intel core - 8300,CPU
2 intel core extreme qx9775,CPU
fx-9370 amd,CPU
phenom ii 1100 black x6 amd t,CPU
intel core - i7 2600s,CPU
intel xeon 1240 v3 e3 -,CPU
intel xeon 2650 - e5 v2,CPU
x4 athlon 860k amd,CPU
intel core 9900 - i9,CPU
intel celeron g4900,CPU
intel xeon v4 - 1620 e5,CPU
intel core 2320 i5 -,CPU
i3 intel core 9100 - t,CPU
e-2288 intel xeon g,CPU
a6 - 7400k amd,CPU
intel core 7640x i5 -,CPU
9500e a6 - amd,CPU
intel core 9960x - i9,CPU
a6 3670k - amd,CPU
i3 intel core - 3250,CPU
intel xeon 1650 v3 - e5,CPU
intel xeon e-2236,CPU
intel core - i7 960,CPU
intel edition core extreme 3960x - i7,CPU
intel xeon 1230 v3 e3 -,CPU
intel core 3350p i5 -,CPU
intel xeon 2667 - e5 v2,CPU
fx-8320e amd,CPU
intel core - 7980xe i9,CPU
g630 intel pentium,CPU
2650l intel xeon v4 - e5,CPU
intel xeon 1240 e3 - v2,CPU
intel xeon v3 - e5 2640,CPU
intel xeon v3 2650 - e5,CPU
intel core 4460s i5 -,CPU
i3 intel core 9350kf -,CPU
intel core 9900 - i9 t,CPU
intel core - i7 9700 t,CPU
i3 intel core 10320 -,CPU
g645 intel pentium,CPU
i3 intel core 4340 -,CPU
1220 intel xeon v3 e3 -,CPU
i3 intel core - 7350k,CPU
intel core 950 - i7,CPU
i3 intel core - 550,CPU
6378 opteron amd,CPU
intel core - i9 7940x,CPU
6700 a10 - amd,CPU
intel core i5 2400s -,CPU
fx-8120 amd,CPU
intel xeon e3 - 1275 v2,CPU
intel core i5 - 6600,CPU
9500 a6 - amd,CPU
x4 athlon 950 amd,CPU
2990wx threadripper amd,CPU
7 ryzen 2700 amd,CPU
intel core i5 - 9600k,CPU
intel xeon v3 e3 - 1241,CPU
phenom ii x4 955 black amd,CPU
sempron 140 amd,CPU
intel pentium g2020,CPU
intel core - 4771 i7,CPU
intel core 3340 i5 -,CPU
8500 intel core i5 -,CPU
intel xeon v3 2620 - e5,CPU
intel core - i9 7900x,CPU
amd ii athlon x2 250,CPU
5800k a10 - amd,CPU
3850 amd,CPU
intel xeon 2690 v3 - e5,CPU
intel core i5 - 9500,CPU
intel core 4590 i5 - t,CPU
intel pentium e2160,CPU
intel xeon v3 1660 - e5,CPU
intel core 7800x - i7,CPU
2 intel quad core q8400,CPU
intel core 2310 i5 -,CPU
g440 intel celeron,CPU
fx-8150 amd,CPU
intel pentium g2030,CPU
intel xeon 2687w v3 - e5,CPU
intel core i5 - 7600,CPU
i3 8100 intel core - t,CPU
- 9800e a12 amd,CPU
2 intel quad core q9550,CPU
intel xeon 1650 - e5 v2,CPU
2650l intel xeon - e5,CPU
intel core i5 7400 - t,CPU
intel celeron g4930,CPU
intel core - i7 875k,CPU
i3 intel core - 4330,CPU
intel xeon v3 - 1680 e5,CPU
i3 intel core 6098p -,CPU
intel core i5 - 9400,CPU
intel gold pentium g5400 t,CPU
i3 intel core - 7320,CPU
nm ) ( ryzen 1200 amd 12 3,CPU
phenom 1055 ii x6 amd t,CPU
e2140 intel pentium,CPU
i3 intel core 540 -,CPU
370k athlon x2 amd,CPU
2670 intel xeon - e5,CPU
intel xeon v4 2620 - e5,CPU
i3 intel core 9300 -,CPU
intel celeron 430,CPU
intel core i5 - 2300,CPU
5600k - a8 amd,CPU
7860k a10 - amd,CPU
intel celeron g3900,CPU
intel core - i7 7700 t,CPU
intel core - 9900x i9,CPU
intel xeon - e5 4650,CPU
intel core 4790 - i7 t,CPU
intel xeon 2630l v3 - e5,CPU
9800 - a12 amd,CPU
intel pentium e5200,CPU
intel core - i7 880,CPU
2670 intel xeon - e5 v2,CPU
2695 intel xeon - e5 v2,CPU
intel core 4790k - i7,CPU
intel core 5930k - i7,CPU
intel xeon e3 1270 - v2,CPU
a10 7890k - amd,CPU
intel xeon 1230 v6 e3 -,CPU
635 ii x4 athlon amd,CPU
intel core i5 3450s -,CPU
intel xeon 2698 v3 - e5,CPU
fx-8370 amd,CPU
phenom ii 945 x4 amd,CPU
2 intel core e8400 duo,CPU
2 intel core duo e8600,CPU
2 intel quad core q9300,CPU
phenom ii x4 955 amd,CPU
g620 intel pentium,CPU
5400k a6 - amd,CPU
1220 intel xeon e3 - v2,CPU
intel xeon 2630 - e5 v2,CPU
intel core i5 4690k -,CPU
6700 a10 - amd,CPU
intel xeon v3 e3 1271 -,CPU
intel xeon 2637 v3 - e5,CPU
intel xeon 2660 v3 - e5,CPU
intel core i5 - 6400 t,CPU
intel xeon 1230 v5 e3 -,CPU
1245 intel xeon v5 e3 -,CPU
intel core - 870 i7,CPU
intel celeron g4900,CPU
phenom amd ii 555 black x2,CPU
i3 intel core 2130 -,CPU
intel core i5 - 2550k,CPU
6500 - a8 amd,CPU
750k x4 athlon amd,CPU
intel pentium g3420,CPU
fx-9590 amd,CPU
intel core 4440s i5 -,CPU
fx-4300 amd,CPU
i3 intel core - 4160,CPU
intel xeon 1650 - e5,CPU
a10 7870k - amd,CPU
intel xeon 1240 v5 e3 -,CPU
fx-8350 amd,CPU
intel core - i9 7920x,CPU
2950x threadripper amd,CPU
athlon 200ge amd,CPU
intel core 9960x - i9,CPU
intel core - 9940x i9,CPU
intel xeon e-2276 g,CPU
amd g nm ) ( athlon 14 3000,CPU
intel core 980 - i7,CPU
intel xeon 2603 v3 - e5,CPU
intel core i5 - 6600 t,CPU
2 intel quad core q6600,CPU
intel xeon 2609 v4 - e5,CPU
intel celeron 420,CPU
2 intel core duo e8600,CPU
fx-8150 amd,CPU
i3 intel core - 3225,CPU
a4 5300 - amd,CPU
5500 - a8 amd,CPU
a4 - 4000 amd,CPU
2670 intel xeon - e5,CPU
intel xeon 2687w - e5,CPU
intel xeon 2690 - e5,CPU
intel pentium g3240,CPU
intel xeon v5 e3 1270 -,CPU
1280 intel xeon v6 e3 -,CPU
intel core i5 - 3570s,CPU
intel core i5 - 8600 t,CPU
intel pentium gold g5400,CPU
e-2176 intel xeon g,CPU
intel core i5 5675c -,CPU
intel xeon v6 e3 1285 -,CPU
intel core i5 - 8600,CPU
intel core 940 - i7,CPU
intel celeron g4920,CPU
intel core i5 - 3330s,CPU
intel e5300 pentium,CPU
2 intel core e7200 duo,CPU
intel core - 970 i7,CPU
3850 - a8 amd,CPU
1245 intel xeon e3 - v2,CPU
1245 intel xeon v3 e3 -,CPU
i3 intel core - t 4160,CPU
intel xeon - 1620 e5,CPU
fx-8370e amd,CPU
2670 intel xeon v3 - e5,CPU
intel xeon 1265l v3 e3 -,CPU
i3 intel core - t 6100,CPU
g3260 intel pentium,CPU
intel core i5 3570 -,CPU
2970wx threadripper amd,CPU
intel xeon e-2174 g,CPU
e-2278 intel xeon g,CPU
g640 intel t pentium,CPU
i3 intel core - 6100,CPU
g3920 intel celeron,CPU
i3 intel core 2100 - t,CPU
intel xeon 2687w - e5 v2,CPU
intel core i5 - t 9400,CPU
intel core 930 - i7,CPU
2 intel quad core q9550s,CPU
qx9650 2 intel core extreme,CPU
phenom ii 1075 x6 amd t,CPU
phenom 840 ii x4 amd,CPU
phenom ii x4 980 black amd,CPU
amd ii 270 athlon x2,CPU
645 ii x4 athlon amd,CPU
phenom 975 ii x4 amd,CPU
i3 intel core 3210 -,CPU
760k x4 athlon amd,CPU
intel core - i7 5960x,CPU
fx-8310 amd,CPU
1220 intel xeon v5 e3 -,CPU
6320 opteron amd,CPU
intel xeon 2603 v4 - e5,CPU
x4 athlon 870k amd,CPU
intel pentium g4560,CPU
g4620 intel pentium,CPU
intel xeon v4 - 2643 e5,CPU
intel pentium gold g5500,CPU
e-2136 intel xeon,CPU
i3 intel core 10325 -,CPU
intel core - 10900k i9,CPU
5700 a10 - amd,CPU
g5600 intel pentium gold,CPU
2695 intel xeon v3 - e5,CPU
intel core - i7 6800k,CPU
intel xeon 1230 v6 e3 -,CPU
2 intel core e4300 duo,CPU
2 intel core e4300 duo,CPU
2 intel quad core q6700,CPU
2 intel quad core q8200,CPU
ii x4 620 athlon amd,CPU
